Animal,Age,Temperature,Symptom 1,Symptom 2,Symptom 3,Disease
Sheep,6,41.3,matted eyes,loss of appetite,sores on tongue,PPR
Goat,3,40.7,blood in stool,chills,swelling in abdomen,Rift Valley Fever
Poultry,6,42.8,difficulty walking,depression,greenish diarrhea,Newcastle Disease
Poultry,8,43.6,sudden death,twisted neck,fatigue,Newcastle Disease
Goat,5,41.2,fatigue,chest discomfort,painful cough,CCPP
Poultry,5,43.7,greenish diarrhea,twisted neck,fatigue,Newcastle Disease
Poultry,7,44.7,greenish diarrhea,chills,difficulty walking,Newcastle Disease
Sheep,8,40.2,fatigue,loss of appetite,sores on tongue,PPR
Sheep,2,41.4,blood in stool,swelling in abdomen,sweats,Rift Valley Fever
Poultry,6,43.2,depression,difficulty walking,chills,Newcastle Disease
Sheep,8,40.7,matted eyes,loss of appetite,foul diarrhea,PPR
Goat,6,41.0,painful cough,extended neck,chest discomfort,CCPP
Goat,7,41.0,loss of appetite,fatigue,extended neck,CCPP
Poultry,2,43.8,greenish diarrhea,sudden death,fatigue,Newcastle Disease
Cow,6,42.0,lacrimation,difficulty walking,swelling in neck,East Coast Fever
Goat,6,41.3,sores on gums,matted eyes,loss of appetite,PPR
Goat,3,41.3,fatigue,chest discomfort,crackling sound,CCPP
Poultry,4,43.9,sudden death,depression,difficulty walking,Newcastle Disease
Poultry,5,44.6,twisted neck,chills,fatigue,Newcastle Disease
Sheep,7,41.3,foul diarrhea,matted eyes,fatigue,PPR
Sheep,8,42.1,fatigue,chills,mass abortion,Rift Valley Fever
Sheep,4,41.4,sweats,blood in stool,chills,Rift Valley Fever
Cow,6,42.8,frothing at mouth,swelling in limb,fatigue,East Coast Fever
Sheep,3,42.0,mass abortion,chills,sweats,Rift Valley Fever
Poultry,4,43.0,sudden death,greenish diarrhea,depression,Newcastle Disease
Sheep,5,41.6,jaundice,swelling in abdomen,sweats,Rift Valley Fever
Sheep,2,41.7,matted eyes,loss of appetite,sores on mouth,PPR
Goat,1,42.4,painful cough,shortness of breath,fatigue,CCPP
Goat,6,41.7,matted eyes,loss of appetite,fatigue,PPR
Cow,8,41.7,fatigue,lacrimation,swelling in neck,East Coast Fever
Goat,5,41.4,painful cough,crackling sound,extended neck,CCPP
Cow,8,42.0,swelling in limb,frothing at mouth,swelling in neck,East Coast Fever
Sheep,4,41.7,mass abortion,fatigue,swelling in abdomen,Rift Valley Fever
Poultry,8,43.3,depression,difficulty walking,twisted neck,Newcastle Disease
Goat,1,41.0,matted eyes,sores on tongue,sores on mouth,PPR
Sheep,4,40.9,sores on tongue,foul diarrhea,loss of appetite,PPR
Cow,3,41.1,frothing at mouth,lacrimation,swelling in limb,East Coast Fever
Sheep,7,41.4,sweats,blood in stool,swelling in abdomen,Rift Valley Fever
Cow,3,41.7,fatigue,loss of appetite,difficulty walking,East Coast Fever
Poultry,1,43.4,greenish diarrhea,twisted neck,fatigue,Newcastle Disease
Cow,8,41.6,difficulty walking,loss of appetite,swelling in limb,East Coast Fever
Sheep,7,40.8,sores on tongue,matted eyes,sores on mouth,PPR
Sheep,6,41.4,foul diarrhea,matted eyes,sores on mouth,PPR
Sheep,3,41.1,sores on mouth,sores on tongue,foul diarrhea,PPR
Cow,2,41.8,fatigue,difficulty walking,swelling in limb,East Coast Fever
Cow,3,42.0,frothing at mouth,loss of appetite,fatigue,East Coast Fever
Sheep,6,40.6,chills,sweats,jaundice,Rift Valley Fever
Sheep,5,42.6,jaundice,fatigue,swelling in abdomen,Rift Valley Fever
Goat,5,41.5,fatigue,extended neck,painful cough,CCPP
Cow,3,42.9,frothing at mouth,fatigue,swelling in neck,East Coast Fever
Goat,2,41.8,chest discomfort,painful cough,fatigue,CCPP
Goat,8,41.6,fatigue,shortness of breath,loss of appetite,CCPP
Goat,3,41.5,jaundice,chills,blood in stool,Rift Valley Fever
Poultry,7,42.1,twisted neck,greenish diarrhea,difficulty walking,Newcastle Disease
Cow,8,41.5,fatigue,blood in stool,swelling in abdomen,Rift Valley Fever
Sheep,3,40.4,sores on tongue,foul diarrhea,sores on gums,PPR
Poultry,6,43.3,fatigue,twisted neck,sudden death,Newcastle Disease
Sheep,1,41.7,fatigue,sores on mouth,sores on tongue,PPR
Poultry,4,44.0,fatigue,depression,greenish diarrhea,Newcastle Disease
Sheep,8,41.2,chills,blood in stool,fatigue,Rift Valley Fever
Goat,3,41.3,shortness of breath,loss of appetite,painful cough,CCPP
Poultry,6,42.6,difficulty walking,depression,fatigue,Newcastle Disease
Sheep,2,42.0,sores on tongue,loss of appetite,sores on mouth,PPR
Cow,2,42.3,lacrimation,loss of appetite,frothing at mouth,East Coast Fever
Sheep,3,40.5,fatigue,foul diarrhea,matted eyes,PPR
Goat,5,41.4,painful cough,extended neck,fatigue,CCPP
Goat,4,40.6,loss of appetite,matted eyes,foul diarrhea,PPR
Goat,4,41.6,swelling in abdomen,fatigue,chills,Rift Valley Fever
Poultry,8,43.9,chills,fatigue,twisted neck,Newcastle Disease
Goat,5,41.7,sweats,chills,mass abortion,Rift Valley Fever
Sheep,3,40.4,matted eyes,foul diarrhea,sores on gums,PPR
Cow,4,42.4,lacrimation,loss of appetite,swelling in neck,East Coast Fever
Goat,6,41.0,chest discomfort,shortness of breath,crackling sound,CCPP
Cow,1,42.4,difficulty walking,swelling in neck,swelling in limb,East Coast Fever
Goat,7,41.5,chest discomfort,loss of appetite,shortness of breath,CCPP
Goat,6,41.6,crackling sound,shortness of breath,chest discomfort,CCPP
Poultry,2,44.8,chills,sudden death,twisted neck,Newcastle Disease
Goat,3,41.5,loss of appetite,fatigue,extended neck,CCPP
Poultry,6,43.6,fatigue,chills,depression,Newcastle Disease
Sheep,6,41.2,mass abortion,swelling in abdomen,jaundice,Rift Valley Fever
Goat,3,41.9,loss of appetite,chest discomfort,shortness of breath,CCPP
Goat,8,41.0,crackling sound,chest discomfort,shortness of breath,CCPP
Cow,4,42.6,loss of appetite,swelling in limb,swelling in neck,East Coast Fever
Cow,7,41.4,loss of appetite,frothing at mouth,swelling in neck,East Coast Fever
Goat,5,41.6,painful cough,extended neck,crackling sound,CCPP
Cow,1,42.1,difficulty walking,fatigue,swelling in neck,East Coast Fever
Goat,5,41.3,foul diarrhea,loss of appetite,sores on tongue,PPR
Goat,8,40.9,sweats,mass abortion,jaundice,Rift Valley Fever
Poultry,2,44.6,sudden death,greenish diarrhea,fatigue,Newcastle Disease
Cow,4,41.3,swelling in abdomen,chills,mass abortion,Rift Valley Fever
Goat,7,40.9,sores on gums,fatigue,sores on tongue,PPR
Goat,5,40.2,sores on tongue,sores on mouth,loss of appetite,PPR
Goat,5,41.3,sweats,chills,mass abortion,Rift Valley Fever
Cow,1,42.5,frothing at mouth,swelling in limb,difficulty walking,East Coast Fever
Cow,1,41.6,frothing at mouth,loss of appetite,difficulty walking,East Coast Fever
Poultry,1,44.8,sudden death,difficulty walking,chills,Newcastle Disease
Cow,7,42.4,loss of appetite,frothing at mouth,lacrimation,East Coast Fever
Goat,4,41.1,painful cough,extended neck,fatigue,CCPP
Cow,7,42.3,frothing at mouth,difficulty walking,swelling in neck,East Coast Fever
Goat,3,41.3,loss of appetite,shortness of breath,painful cough,CCPP
Poultry,2,42.5,chills,fatigue,sudden death,Newcastle Disease
Cow,8,41.9,swelling in abdomen,jaundice,blood in stool,Rift Valley Fever
Poultry,8,43.5,twisted neck,greenish diarrhea,difficulty walking,Newcastle Disease
Goat,1,40.6,sores on tongue,matted eyes,foul diarrhea,PPR
Poultry,6,45.1,chills,greenish diarrhea,difficulty walking,Newcastle Disease
Goat,8,41.7,blood in stool,sweats,fatigue,Rift Valley Fever
Sheep,3,41.3,loss of appetite,sores on mouth,sores on gums,PPR
Goat,5,42.1,swelling in abdomen,mass abortion,sweats,Rift Valley Fever
Poultry,7,44.4,sudden death,depression,twisted neck,Newcastle Disease
Poultry,2,42.8,greenish diarrhea,sudden death,twisted neck,Newcastle Disease
Poultry,7,43.9,sudden death,fatigue,greenish diarrhea,Newcastle Disease
Sheep,7,41.2,matted eyes,loss of appetite,fatigue,PPR
Cow,1,42.6,frothing at mouth,difficulty walking,fatigue,East Coast Fever
Cow,1,41.8,lacrimation,difficulty walking,frothing at mouth,East Coast Fever
Goat,4,40.6,fatigue,matted eyes,sores on mouth,PPR
Cow,4,42.9,loss of appetite,frothing at mouth,swelling in limb,East Coast Fever
Sheep,8,41.8,sores on mouth,sores on gums,fatigue,PPR
Cow,3,42.2,difficulty walking,frothing at mouth,fatigue,East Coast Fever
Poultry,1,43.3,difficulty walking,fatigue,greenish diarrhea,Newcastle Disease
Sheep,7,41.5,foul diarrhea,loss of appetite,fatigue,PPR
Cow,4,41.4,swelling in limb,swelling in neck,lacrimation,East Coast Fever
Goat,7,41.2,extended neck,crackling sound,shortness of breath,CCPP
Goat,7,42.5,sweats,blood in stool,jaundice,Rift Valley Fever
Poultry,8,44.1,twisted neck,chills,fatigue,Newcastle Disease
Poultry,2,43.0,depression,fatigue,difficulty walking,Newcastle Disease
Goat,1,42.2,chest discomfort,shortness of breath,extended neck,CCPP
Sheep,1,40.9,swelling in abdomen,mass abortion,chills,Rift Valley Fever
Goat,3,41.7,extended neck,fatigue,chest discomfort,CCPP
Sheep,7,41.9,jaundice,fatigue,blood in stool,Rift Valley Fever
Cow,5,41.7,swelling in neck,fatigue,swelling in limb,East Coast Fever
Cow,6,42.7,frothing at mouth,lacrimation,difficulty walking,East Coast Fever
Poultry,3,42.9,depression,difficulty walking,fatigue,Newcastle Disease
Poultry,8,42.7,difficulty walking,sudden death,greenish diarrhea,Newcastle Disease
Sheep,7,41.5,matted eyes,fatigue,loss of appetite,PPR
Goat,1,41.4,chest discomfort,extended neck,crackling sound,CCPP
Cow,8,41.6,blood in stool,jaundice,chills,Rift Valley Fever
Cow,1,41.5,frothing at mouth,fatigue,swelling in limb,East Coast Fever
Poultry,3,42.8,difficulty walking,twisted neck,chills,Newcastle Disease
Sheep,5,40.7,fatigue,sores on tongue,sores on mouth,PPR
Cow,8,42.1,lacrimation,swelling in neck,frothing at mouth,East Coast Fever
Cow,6,42.4,difficulty walking,fatigue,loss of appetite,East Coast Fever
Goat,4,41.8,chest discomfort,loss of appetite,crackling sound,CCPP
Cow,3,41.6,blood in stool,sweats,jaundice,Rift Valley Fever
Cow,6,42.0,sweats,mass abortion,jaundice,Rift Valley Fever
Goat,8,41.9,jaundice,chills,swelling in abdomen,Rift Valley Fever
Cow,6,41.9,fatigue,swelling in abdomen,mass abortion,Rift Valley Fever
Goat,4,41.9,extended neck,chest discomfort,fatigue,CCPP
Sheep,5,40.9,sores on gums,foul diarrhea,fatigue,PPR
Goat,8,41.6,mass abortion,chills,blood in stool,Rift Valley Fever
Sheep,5,40.6,sores on gums,loss of appetite,matted eyes,PPR
Goat,4,41.8,loss of appetite,crackling sound,chest discomfort,CCPP
Goat,2,40.5,sweats,fatigue,chills,Rift Valley Fever
Cow,7,42.0,loss of appetite,fatigue,swelling in limb,East Coast Fever
Poultry,6,42.1,greenish diarrhea,difficulty walking,depression,Newcastle Disease
Goat,8,41.5,mass abortion,fatigue,blood in stool,Rift Valley Fever
Poultry,2,43.2,twisted neck,sudden death,difficulty walking,Newcastle Disease
Cow,6,41.6,difficulty walking,lacrimation,frothing at mouth,East Coast Fever
Cow,6,41.8,fatigue,difficulty walking,swelling in limb,East Coast Fever
Goat,7,42.0,crackling sound,extended neck,shortness of breath,CCPP
Goat,6,42.0,shortness of breath,crackling sound,extended neck,CCPP
Poultry,7,43.9,depression,sudden death,twisted neck,Newcastle Disease
Poultry,5,43.9,sudden death,chills,greenish diarrhea,Newcastle Disease
Goat,8,42.2,shortness of breath,chest discomfort,extended neck,CCPP
Cow,8,42.2,loss of appetite,swelling in limb,swelling in neck,East Coast Fever
Sheep,5,41.1,foul diarrhea,sores on mouth,matted eyes,PPR
Sheep,8,41.7,chills,blood in stool,swelling in abdomen,Rift Valley Fever
Goat,6,40.8,foul diarrhea,loss of appetite,sores on gums,PPR
Sheep,5,41.1,sores on tongue,sores on mouth,fatigue,PPR
Cow,7,42.6,swelling in neck,difficulty walking,swelling in limb,East Coast Fever
Goat,7,41.0,crackling sound,fatigue,extended neck,CCPP
Sheep,4,41.9,chills,fatigue,jaundice,Rift Valley Fever
Cow,5,41.2,jaundice,blood in stool,chills,Rift Valley Fever
Sheep,4,40.9,swelling in abdomen,blood in stool,mass abortion,Rift Valley Fever
Cow,3,41.4,swelling in neck,fatigue,loss of appetite,East Coast Fever
Sheep,5,42.0,jaundice,sweats,chills,Rift Valley Fever
Goat,6,41.4,fatigue,sores on gums,foul diarrhea,PPR
Cow,5,42.5,swelling in neck,fatigue,frothing at mouth,East Coast Fever
Cow,1,41.1,swelling in abdomen,jaundice,sweats,Rift Valley Fever
Goat,4,41.5,loss of appetite,crackling sound,fatigue,CCPP
Poultry,4,43.9,sudden death,difficulty walking,depression,Newcastle Disease
Cow,3,41.5,lacrimation,swelling in limb,fatigue,East Coast Fever
Goat,1,41.9,fatigue,extended neck,shortness of breath,CCPP
Sheep,4,41.6,swelling in abdomen,fatigue,mass abortion,Rift Valley Fever
Cow,2,42.1,swelling in neck,swelling in limb,difficulty walking,East Coast Fever
Poultry,2,43.3,twisted neck,greenish diarrhea,fatigue,Newcastle Disease
Poultry,4,43.6,greenish diarrhea,fatigue,difficulty walking,Newcastle Disease
Sheep,1,40.8,fatigue,loss of appetite,sores on mouth,PPR
Goat,8,41.1,fatigue,crackling sound,extended neck,CCPP
Poultry,5,43.0,fatigue,twisted neck,sudden death,Newcastle Disease
Goat,4,41.2,fatigue,sores on tongue,matted eyes,PPR
Cow,3,42.4,frothing at mouth,fatigue,difficulty walking,East Coast Fever
Sheep,6,42.0,swelling in abdomen,mass abortion,blood in stool,Rift Valley Fever
Goat,7,41.9,chills,blood in stool,mass abortion,Rift Valley Fever
Sheep,3,41.5,loss of appetite,sores on tongue,foul diarrhea,PPR
Cow,2,41.6,frothing at mouth,swelling in limb,fatigue,East Coast Fever
Sheep,8,41.5,fatigue,matted eyes,sores on gums,PPR
Sheep,8,41.3,sores on gums,fatigue,matted eyes,PPR
Poultry,4,44.4,chills,sudden death,depression,Newcastle Disease
Cow,3,41.0,lacrimation,loss of appetite,difficulty walking,East Coast Fever
Poultry,6,42.2,twisted neck,greenish diarrhea,fatigue,Newcastle Disease
Cow,8,42.4,loss of appetite,frothing at mouth,lacrimation,East Coast Fever
Poultry,1,42.4,sudden death,depression,twisted neck,Newcastle Disease
Poultry,4,43.4,fatigue,sudden death,depression,Newcastle Disease
Cow,4,42.1,loss of appetite,lacrimation,fatigue,East Coast Fever
Poultry,8,44.5,difficulty walking,fatigue,sudden death,Newcastle Disease
Poultry,7,44.0,sudden death,chills,difficulty walking,Newcastle Disease
Cow,3,42.0,fatigue,swelling in limb,loss of appetite,East Coast Fever
Goat,2,42.1,fatigue,shortness of breath,painful cough,CCPP
Goat,2,42.0,painful cough,shortness of breath,crackling sound,CCPP
Sheep,6,40.3,fatigue,sores on gums,sores on mouth,PPR
Goat,1,41.1,fatigue,painful cough,extended neck,CCPP
Poultry,6,44.3,fatigue,greenish diarrhea,twisted neck,Newcastle Disease
Cow,3,41.8,frothing at mouth,swelling in neck,loss of appetite,East Coast Fever
Cow,7,41.8,fatigue,chills,swelling in abdomen,Rift Valley Fever
Cow,5,41.2,fatigue,chills,mass abortion,Rift Valley Fever
Sheep,2,41.7,fatigue,sores on mouth,sores on gums,PPR
Goat,6,40.5,loss of appetite,sores on mouth,foul diarrhea,PPR
Goat,2,41.9,sweats,blood in stool,mass abortion,Rift Valley Fever
Goat,5,40.7,loss of appetite,matted eyes,sores on mouth,PPR
Cow,6,41.7,swelling in neck,frothing at mouth,swelling in limb,East Coast Fever
Cow,1,41.8,swelling in neck,loss of appetite,fatigue,East Coast Fever
Poultry,2,43.4,twisted neck,fatigue,chills,Newcastle Disease
Cow,2,41.2,swelling in neck,fatigue,frothing at mouth,East Coast Fever
Poultry,6,42.8,depression,twisted neck,greenish diarrhea,Newcastle Disease
Goat,3,41.4,loss of appetite,foul diarrhea,sores on gums,PPR
Goat,4,41.5,jaundice,blood in stool,swelling in abdomen,Rift Valley Fever
Cow,8,41.9,chills,jaundice,swelling in abdomen,Rift Valley Fever
Goat,6,40.9,shortness of breath,loss of appetite,extended neck,CCPP
Poultry,3,44.2,fatigue,twisted neck,difficulty walking,Newcastle Disease
Poultry,5,45.0,sudden death,fatigue,twisted neck,Newcastle Disease
Goat,5,40.1,foul diarrhea,sores on mouth,fatigue,PPR
Sheep,6,41.2,mass abortion,sweats,fatigue,Rift Valley Fever
Goat,1,42.4,fatigue,loss of appetite,painful cough,CCPP
Goat,1,41.9,fatigue,swelling in abdomen,chills,Rift Valley Fever
Sheep,6,41.2,loss of appetite,sores on tongue,sores on mouth,PPR
Goat,8,41.8,extended neck,loss of appetite,shortness of breath,CCPP
Goat,7,41.8,sores on tongue,foul diarrhea,sores on mouth,PPR
Goat,3,40.4,sores on mouth,foul diarrhea,fatigue,PPR
Poultry,2,42.2,chills,greenish diarrhea,twisted neck,Newcastle Disease
Goat,2,42.0,jaundice,fatigue,chills,Rift Valley Fever
Cow,8,42.4,fatigue,frothing at mouth,loss of appetite,East Coast Fever
Cow,3,42.1,difficulty walking,fatigue,loss of appetite,East Coast Fever
Goat,6,42.3,crackling sound,fatigue,painful cough,CCPP
Poultry,6,43.4,sudden death,twisted neck,depression,Newcastle Disease
Goat,2,41.2,jaundice,swelling in abdomen,chills,Rift Valley Fever
Goat,4,42.3,loss of appetite,extended neck,chest discomfort,CCPP
Goat,5,40.6,painful cough,loss of appetite,extended neck,CCPP
Sheep,8,41.2,loss of appetite,matted eyes,fatigue,PPR
Goat,8,41.6,chest discomfort,loss of appetite,extended neck,CCPP
Goat,3,42.0,shortness of breath,chest discomfort,painful cough,CCPP
Cow,4,42.3,swelling in limb,loss of appetite,lacrimation,East Coast Fever
Sheep,6,41.6,blood in stool,mass abortion,fatigue,Rift Valley Fever
Poultry,7,44.1,sudden death,depression,difficulty walking,Newcastle Disease
Goat,5,42.4,extended neck,crackling sound,shortness of breath,CCPP
Goat,4,41.8,shortness of breath,extended neck,loss of appetite,CCPP
Poultry,8,43.5,chills,sudden death,fatigue,Newcastle Disease
Poultry,3,42.5,greenish diarrhea,fatigue,sudden death,Newcastle Disease
Goat,3,41.5,fatigue,crackling sound,painful cough,CCPP
Sheep,3,41.0,sores on gums,sores on mouth,loss of appetite,PPR
Goat,6,41.1,sores on mouth,sores on gums,matted eyes,PPR
Poultry,4,43.3,difficulty walking,fatigue,twisted neck,Newcastle Disease
Cow,3,41.4,blood in stool,swelling in abdomen,fatigue,Rift Valley Fever
Goat,1,41.1,matted eyes,sores on tongue,loss of appetite,PPR
Goat,5,42.1,extended neck,loss of appetite,crackling sound,CCPP
Goat,1,41.9,extended neck,chest discomfort,crackling sound,CCPP
Poultry,8,44.6,depression,difficulty walking,twisted neck,Newcastle Disease
Goat,1,41.0,extended neck,shortness of breath,chest discomfort,CCPP
Cow,1,41.3,swelling in neck,difficulty walking,swelling in limb,East Coast Fever
Cow,5,41.4,fatigue,swelling in neck,loss of appetite,East Coast Fever
Sheep,2,40.6,sores on tongue,sores on gums,loss of appetite,PPR
Cow,3,41.4,fatigue,chills,mass abortion,Rift Valley Fever
Poultry,7,42.6,difficulty walking,sudden death,fatigue,Newcastle Disease
Poultry,5,44.5,greenish diarrhea,chills,fatigue,Newcastle Disease
Poultry,8,44.1,depression,fatigue,sudden death,Newcastle Disease
Goat,6,41.9,crackling sound,chest discomfort,loss of appetite,CCPP
Goat,5,42.1,fatigue,crackling sound,chest discomfort,CCPP
Goat,8,42.5,jaundice,mass abortion,sweats,Rift Valley Fever
Cow,8,42.1,fatigue,sweats,swelling in abdomen,Rift Valley Fever
Poultry,3,44.3,sudden death,twisted neck,difficulty walking,Newcastle Disease
Cow,8,42.0,loss of appetite,swelling in neck,difficulty walking,East Coast Fever
Poultry,7,42.4,twisted neck,greenish diarrhea,difficulty walking,Newcastle Disease
Goat,2,41.8,crackling sound,extended neck,chest discomfort,CCPP
Goat,5,40.8,shortness of breath,extended neck,painful cough,CCPP
Sheep,7,41.4,fatigue,loss of appetite,sores on tongue,PPR
Poultry,4,43.9,greenish diarrhea,fatigue,chills,Newcastle Disease
Sheep,3,40.7,sores on mouth,sores on tongue,loss of appetite,PPR
Sheep,4,41.2,loss of appetite,foul diarrhea,sores on tongue,PPR
Poultry,6,43.4,sudden death,greenish diarrhea,fatigue,Newcastle Disease
Goat,6,42.4,crackling sound,extended neck,painful cough,CCPP
Poultry,6,44.3,difficulty walking,twisted neck,greenish diarrhea,Newcastle Disease
Goat,5,41.7,loss of appetite,crackling sound,painful cough,CCPP
Goat,5,41.9,fatigue,crackling sound,extended neck,CCPP
Sheep,8,41.2,fatigue,foul diarrhea,sores on mouth,PPR
Goat,4,41.9,chest discomfort,loss of appetite,painful cough,CCPP
Poultry,6,44.0,twisted neck,sudden death,fatigue,Newcastle Disease
Poultry,1,44.4,chills,fatigue,twisted neck,Newcastle Disease
Goat,7,41.6,fatigue,painful cough,shortness of breath,CCPP
Cow,6,41.4,difficulty walking,fatigue,lacrimation,East Coast Fever
Poultry,1,44.8,twisted neck,fatigue,greenish diarrhea,Newcastle Disease
Goat,3,41.2,extended neck,crackling sound,painful cough,CCPP
Cow,1,42.3,loss of appetite,frothing at mouth,swelling in neck,East Coast Fever
Poultry,5,43.9,sudden death,depression,fatigue,Newcastle Disease
Poultry,6,43.3,greenish diarrhea,fatigue,sudden death,Newcastle Disease
Poultry,6,44.4,fatigue,difficulty walking,twisted neck,Newcastle Disease
Cow,8,42.0,sweats,blood in stool,mass abortion,Rift Valley Fever
Poultry,8,44.7,depression,difficulty walking,fatigue,Newcastle Disease
Cow,7,40.7,jaundice,mass abortion,fatigue,Rift Valley Fever
Goat,1,41.7,crackling sound,painful cough,loss of appetite,CCPP
Sheep,2,40.7,mass abortion,chills,swelling in abdomen,Rift Valley Fever
Sheep,4,41.8,matted eyes,fatigue,foul diarrhea,PPR
Goat,3,41.4,fatigue,shortness of breath,painful cough,CCPP
Cow,2,41.4,mass abortion,swelling in abdomen,chills,Rift Valley Fever
Cow,6,41.3,blood in stool,fatigue,sweats,Rift Valley Fever
Goat,6,41.0,foul diarrhea,loss of appetite,sores on tongue,PPR
Cow,6,43.0,difficulty walking,lacrimation,swelling in neck,East Coast Fever
Cow,1,42.1,fatigue,difficulty walking,frothing at mouth,East Coast Fever
Goat,2,41.4,fatigue,chest discomfort,shortness of breath,CCPP
Cow,4,42.1,swelling in limb,lacrimation,difficulty walking,East Coast Fever
Goat,1,40.8,foul diarrhea,loss of appetite,sores on tongue,PPR
Poultry,7,44.9,greenish diarrhea,difficulty walking,twisted neck,Newcastle Disease
Goat,8,41.3,sores on gums,sores on mouth,foul diarrhea,PPR
Goat,6,41.6,painful cough,chest discomfort,fatigue,CCPP
Poultry,7,44.1,twisted neck,fatigue,difficulty walking,Newcastle Disease
Goat,5,42.0,shortness of breath,extended neck,chest discomfort,CCPP
Sheep,8,40.5,fatigue,sores on tongue,sores on gums,PPR
Cow,2,41.2,sweats,chills,blood in stool,Rift Valley Fever
Poultry,3,43.4,depression,twisted neck,difficulty walking,Newcastle Disease
Poultry,3,42.8,difficulty walking,depression,greenish diarrhea,Newcastle Disease
Goat,8,41.9,sweats,swelling in abdomen,chills,Rift Valley Fever
Goat,7,41.6,matted eyes,sores on mouth,sores on tongue,PPR
Goat,7,40.2,loss of appetite,foul diarrhea,matted eyes,PPR
Cow,7,42.7,swelling in limb,frothing at mouth,swelling in neck,East Coast Fever
Poultry,7,44.7,depression,twisted neck,fatigue,Newcastle Disease
Cow,8,41.5,swelling in limb,frothing at mouth,difficulty walking,East Coast Fever
Goat,2,41.5,sores on gums,fatigue,matted eyes,PPR
Goat,7,42.5,chest discomfort,fatigue,shortness of breath,CCPP
Goat,1,41.4,loss of appetite,painful cough,extended neck,CCPP
Cow,3,42.0,loss of appetite,swelling in limb,frothing at mouth,East Coast Fever
Sheep,4,41.3,fatigue,loss of appetite,sores on tongue,PPR
Cow,3,41.8,lacrimation,loss of appetite,frothing at mouth,East Coast Fever
Sheep,4,42.0,jaundice,blood in stool,chills,Rift Valley Fever
Cow,7,41.6,difficulty walking,frothing at mouth,swelling in neck,East Coast Fever
Sheep,8,41.5,sores on mouth,foul diarrhea,loss of appetite,PPR
Sheep,3,41.7,matted eyes,foul diarrhea,sores on tongue,PPR
Goat,3,41.4,sores on mouth,fatigue,foul diarrhea,PPR
Cow,5,42.5,loss of appetite,swelling in neck,fatigue,East Coast Fever
Sheep,4,40.9,sores on gums,sores on tongue,foul diarrhea,PPR
Goat,7,40.8,matted eyes,sores on gums,foul diarrhea,PPR
Goat,6,40.8,matted eyes,sores on mouth,sores on gums,PPR
Goat,2,40.9,extended neck,shortness of breath,fatigue,CCPP
Cow,7,41.4,fatigue,swelling in neck,frothing at mouth,East Coast Fever
Goat,7,41.4,chills,fatigue,sweats,Rift Valley Fever
Poultry,8,44.6,sudden death,chills,depression,Newcastle Disease
Goat,3,41.6,loss of appetite,sores on mouth,fatigue,PPR
Cow,3,42.3,loss of appetite,fatigue,difficulty walking,East Coast Fever
Goat,4,41.4,crackling sound,shortness of breath,fatigue,CCPP
Cow,4,42.1,fatigue,lacrimation,frothing at mouth,East Coast Fever
Goat,7,41.1,loss of appetite,shortness of breath,fatigue,CCPP
Poultry,2,43.4,depression,fatigue,greenish diarrhea,Newcastle Disease
Goat,1,41.9,crackling sound,painful cough,extended neck,CCPP
Goat,7,41.1,painful cough,chest discomfort,fatigue,CCPP
Goat,4,42.1,painful cough,loss of appetite,fatigue,CCPP
Goat,4,41.6,loss of appetite,painful cough,fatigue,CCPP
Sheep,2,40.8,foul diarrhea,sores on gums,sores on mouth,PPR
Poultry,1,44.0,difficulty walking,chills,greenish diarrhea,Newcastle Disease
Goat,6,41.7,sores on tongue,sores on mouth,fatigue,PPR
Goat,3,40.7,foul diarrhea,fatigue,sores on gums,PPR
Cow,4,41.8,fatigue,jaundice,mass abortion,Rift Valley Fever
Cow,8,42.0,swelling in limb,swelling in neck,fatigue,East Coast Fever
Sheep,7,41.3,chills,fatigue,blood in stool,Rift Valley Fever
Goat,1,40.3,sores on tongue,loss of appetite,foul diarrhea,PPR
Poultry,4,42.6,difficulty walking,depression,greenish diarrhea,Newcastle Disease
Poultry,3,43.6,sudden death,depression,twisted neck,Newcastle Disease
Cow,2,41.5,swelling in limb,fatigue,loss of appetite,East Coast Fever
Goat,3,41.5,painful cough,fatigue,shortness of breath,CCPP
Goat,1,41.3,painful cough,crackling sound,fatigue,CCPP
Goat,7,41.8,chest discomfort,shortness of breath,fatigue,CCPP
Sheep,8,41.7,matted eyes,sores on tongue,sores on mouth,PPR
Sheep,6,40.6,sores on gums,fatigue,matted eyes,PPR
Cow,1,42.7,loss of appetite,swelling in neck,swelling in limb,East Coast Fever
Poultry,4,44.0,depression,difficulty walking,chills,Newcastle Disease
Poultry,8,43.9,twisted neck,chills,greenish diarrhea,Newcastle Disease
Goat,2,41.6,loss of appetite,chest discomfort,painful cough,CCPP
Cow,3,41.4,loss of appetite,lacrimation,frothing at mouth,East Coast Fever
Cow,6,41.7,fatigue,loss of appetite,swelling in neck,East Coast Fever
Poultry,5,44.5,depression,difficulty walking,greenish diarrhea,Newcastle Disease
Goat,2,42.0,shortness of breath,crackling sound,painful cough,CCPP
Cow,8,41.3,chills,fatigue,jaundice,Rift Valley Fever
Goat,1,40.4,loss of appetite,sores on gums,sores on tongue,PPR
Goat,7,41.1,fatigue,mass abortion,jaundice,Rift Valley Fever
Goat,1,41.5,chest discomfort,shortness of breath,fatigue,CCPP
